Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26553.50 	media espera: 13282.60 	Media_percurso: 13268.90 	Total perc. elevador: 132689 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 172404752.00 	media espera: 172391488.00 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26568.60 	media espera: 13297.10 	Media_percurso: 13269.50 	Total perc. elevador: 132695 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26542.40 	media espera: 13271.00 	Media_percurso: 13269.40 	Total perc. elevador: 132694 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26552.90 	media espera: 13281.10 	Media_percurso: 13269.80 	Total perc. elevador: 132698 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26539.30 	media espera: 13269.40 	Media_percurso: 13267.90 	Total perc. elevador: 132679 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26548.30 	media espera: 13277.40 	Media_percurso: 13268.90 	Total perc. elevador: 132689 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26554.10 	media espera: 13281.80 	Media_percurso: 13270.30 	Total perc. elevador: 132703 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26551.60 	media espera: 13280.40 	Media_percurso: 13269.20 	Total perc. elevador: 132692 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26570.90 	media espera: 13299.00 	Media_percurso: 13269.90 	Total perc. elevador: 132699 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26555.10 	media espera: 13284.30 	Media_percurso: 13268.80 	Total perc. elevador: 132688 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 213718672.00 	media espera: 213705392.00 	Media_percurso: 13268.90 	Total perc. elevador: 132689 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26564.90 	media espera: 13293.10 	Media_percurso: 13269.80 	Total perc. elevador: 132698 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26545.50 	media espera: 13275.60 	Media_percurso: 13267.90 	Total perc. elevador: 132679 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26544.80 	media espera: 13273.60 	Media_percurso: 13269.20 	Total perc. elevador: 132692 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26546.70 	media espera: 13276.10 	Media_percurso: 13268.60 	Total perc. elevador: 132686 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26543.50 	media espera: 13272.50 	Media_percurso: 13269.00 	Total perc. elevador: 132690 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26547.30 	media espera: 13276.10 	Media_percurso: 13269.20 	Total perc. elevador: 132692 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26552.20 	media espera: 13280.50 	Media_percurso: 13269.70 	Total perc. elevador: 132697 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: -108155728.00 	media espera: -108169000.00 	Media_percurso: 13269.20 	Total perc. elevador: 132692 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26541.20 	media espera: 13271.60 	Media_percurso: 13267.60 	Total perc. elevador: 132676 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26544.90 	media espera: 13273.70 	Media_percurso: 13269.20 	Total perc. elevador: 132692 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26551.10 	media espera: 13279.50 	Media_percurso: 13269.60 	Total perc. elevador: 132696 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26551.10 	media espera: 13279.50 	Media_percurso: 13269.60 	Total perc. elevador: 132696 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26565.20 	media espera: 13293.80 	Media_percurso: 13269.40 	Total perc. elevador: 132694 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26551.40 	media espera: 13278.90 	Media_percurso: 13270.50 	Total perc. elevador: 132705 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26551.40 	media espera: 13278.90 	Media_percurso: 13270.50 	Total perc. elevador: 132705 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26564.20 	media espera: 13292.80 	Media_percurso: 13269.40 	Total perc. elevador: 132694 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26547.90 	media espera: 13276.30 	Media_percurso: 13269.60 	Total perc. elevador: 132696 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26542.20 	media espera: 13271.60 	Media_percurso: 13268.60 	Total perc. elevador: 132686 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26544.40 	media espera: 13274.10 	Media_percurso: 13268.30 	Total perc. elevador: 132683 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26544.40 	media espera: 13274.10 	Media_percurso: 13268.30 	Total perc. elevador: 132683 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26548.40 	media espera: 13277.20 	Media_percurso: 13269.20 	Total perc. elevador: 132692 	Portas elev: 20

